Date,follower,follow,follower-par-follow
2017/08/26/00:15:06,79,181,0.43646408839779005
2017/08/26/00:16:20,79,186,0.42473118279569894
2017/08/26/00:41:42,79,188,0.42021276595744683
2017/08/26/01:48:29,78,190,0.4105263157894737
2017/08/26/03:05:20,79,193,0.40932642487046633
2017/08/26/03:07:20,79,195,0.40512820512820513
2017/08/26/03:08:19,79,197,0.4010152284263959
2017/08/26/04:01:58,81,199,0.40703517587939697
2017/08/26/06:01:59,81,201,0.40298507462686567
2017/08/26/08:01:59,85,206,0.41262135922330095
2017/08/26/10:01:59,90,208,0.4326923076923077
2017/08/26/10:27:33,90,208,0.4326923076923077
2017/08/26/11:52:58,91,212,0.42924528301886794
2017/08/26/12:03:20,91,216,0.4212962962962963
2017/08/26/12:11:28,91,220,0.41363636363636364
2017/08/26/12:17:21,91,222,0.4099099099099099
2017/08/26/12:20:04,91,223,0.4080717488789238
2017/08/26/14:02:00,90,229,0.3930131004366812
2017/08/26/16:01:58,92,231,0.39826839826839827
